avg_monthly_balance,total_deposits,total_withdrawals,overdraft_frequency,salary_deposits,gold_assets,property_value,vehicle_ownership,fixed_deposits,guarantor_exists,utility_bill_consistency,upi_transaction_count,wallet_transactions,gst_filing_status,age,employment_type,location,loan_approved,rental_agreement,has_children,education_fees_paid,transaction_type,deposit_to_fixed_ratio
129370,97789,272615,2,1,41,5694083,0,246449,0,62,691,418,1,48,0,0,0,0,1,294709,1,0.3967904240210996
54517,53031,193065,4,0,3441,4027160,1,170562,0,73,440,296,2,24,0,1,0,1,0,0,1,0.3109173736390659
34319,304183,140447,3,1,1187,2345987,0,418463,0,72,0,201,2,31,1,1,0,0,0,0,0,0.7269036285080676
118647,272637,11742,2,0,1093,7518783,0,30312,1,87,438,389,0,28,0,2,1,0,0,0,0,8.99406195361726
143445,286166,22907,4,1,2947,8894331,1,37021,0,73,553,344,0,43,0,2,0,1,0,0,0,7.729620225811679
199383,13632,329359,1,1,2776,8570494,1,137760,1,54,299,487,2,36,0,2,1,0,0,0,1,0.09895398552565675
83573,216470,229448,0,1,2615,9852081,0,350719,0,60,194,21,0,40,0,1,0,1,0,0,1,0.6172160127737226
20017,430091,126554,2,1,3207,7307844,0,337239,1,54,127,320,0,59,1,0,0,1,0,0,0,1.2753261772031788
142314,49801,18861,4,0,1074,4053963,0,221528,1,84,14,318,1,40,1,1,1,1,0,0,0,0.2248057816358129
63886,237708,302740,4,1,4213,5258414,0,328726,1,62,551,29,1,41,0,2,1,1,0,0,1,0.7231167503734102
106090,443965,189292,3,1,4796,7236374,1,268176,1,52,99,405,0,64,2,0,1,1,1,161456,0,1.6554924546102014
39617,408112,300382,1,1,2171,4380572,1,233829,1,61,811,280,1,59,0,1,0,0,1,285945,0,1.7453363554719241
123457,430710,440777,2,1,2237,9309973,1,158566,1,98,846,139,1,24,1,1,1,1,1,327867,1,2.7162650488437063
83601,169312,275393,0,0,4916,6927931,1,214315,1,58,699,266,0,60,0,2,1,0,1,129125,1,0.7900110117770022
89139,144519,418459,2,0,3516,2333384,0,28460,1,89,6,401,0,29,2,2,0,1,1,189614,1,5.0777906609043955
18624,397804,41440,2,1,2117,721308,0,428183,1,53,886,436,0,50,1,1,0,0,1,467930,0,0.9290491938045327
21905,179996,252082,3,1,1903,3194715,1,180469,0,64,116,473,0,41,1,2,0,1,1,362356,1,0.9973735246855433
53558,110319,399412,3,0,4642,6409917,0,120223,1,63,504,349,0,48,0,1,0,0,0,0,1,0.9176121240351344
32921,352259,259341,4,1,1621,9862294,0,87524,1,96,433,333,0,51,0,2,1,0,0,0,0,4.02466723793202
85981,397528,206331,1,1,1760,8552507,1,159051,1,66,731,384,0,36,0,2,1,0,1,415232,0,2.499358700299273
141118,95933,491224,0,1,1442,6499819,1,441365,1,92,245,463,0,57,1,1,0,1,0,0,1,0.2173547577294128
55156,125863,31933,1,1,2663,3600610,1,441962,0,81,7,279,0,42,1,2,0,1,0,0,0,0.2847817577489518
36111,38113,451830,4,1,2417,6970836,0,326445,1,74,337,262,0,56,0,0,1,0,1,130308,1,0.1167513156846768
157692,358110,13391,0,1,4907,3112288,0,71271,0,53,624,19,0,29,0,1,0,0,1,480802,0,5.024553821977776
84750,232138,238302,0,0,3216,521528,1,261100,1,82,73,200,2,57,0,1,0,1,0,0,1,0.889073576891701
23967,73158,132106,1,0,3599,2770296,1,147832,0,55,915,459,0,30,1,2,0,0,1,306881,1,0.4948692105280959
59009,354357,207732,1,1,782,428804,1,188673,0,61,22,56,0,36,1,1,0,1,1,256910,0,1.878144312411885
92615,181478,371852,0,0,4087,8264558,1,226621,1,76,110,401,0,59,0,2,0,0,1,145551,1,0.8007960392194933
114535,492121,365281,0,1,102,6463034,1,413403,1,72,886,96,2,30,0,2,0,0,1,218842,0,1.1904118005631295
36662,413785,322204,1,1,2974,3026947,1,227196,0,80,310,287,1,54,2,2,0,1,1,172630,0,1.8212608441132585
160595,35219,95265,1,0,4578,4142452,1,289658,1,72,547,121,0,38,0,1,1,0,1,457979,1,0.12158779806600174
54602,384327,282144,0,1,3676,3362314,0,146154,1,76,621,414,1,25,0,2,0,1,1,288298,0,2.6295850295918717
120312,455545,48133,3,1,4697,4618982,1,446331,0,70,194,275,0,34,1,2,0,0,0,0,0,1.0206415851877078
101224,340164,292199,3,1,4970,6093892,1,314909,1,53,880,249,2,61,1,1,0,0,0,0,0,1.0801943412403543
60871,61931,276088,0,1,3273,6026027,0,479314,1,55,657,295,2,40,0,2,1,0,0,0,1,0.12920730625997517
170488,396595,367358,3,0,1789,8450675,1,19412,1,58,404,199,2,21,0,1,1,1,1,249051,0,20.429351465512802
99212,244753,474520,2,1,612,9532995,0,198658,0,69,477,28,0,23,0,2,1,1,0,0,1,1.2320257325366584
181708,79848,433370,1,1,1359,2331578,1,61412,1,58,378,243,0,31,1,0,0,0,1,31307,1,1.300180743490792
167322,415677,324161,1,1,3583,2061056,1,308690,1,55,575,268,1,47,2,1,1,0,0,0,0,1.346579589298036
148804,476192,50841,0,1,162,1174334,1,194811,0,90,45,197,1,42,1,0,0,0,1,101175,0,2.444366876783771
5519,357359,103238,2,1,777,4387648,1,112208,0,77,769,347,1,51,0,0,0,0,0,0,0,3.1847623630903046
96245,431088,196160,1,0,4085,3447913,0,222433,1,50,252,43,2,46,2,1,0,0,0,0,0,1.9380490392655798
154565,229593,251478,2,0,4259,9690676,1,5041,0,92,324,418,0,64,1,1,0,1,0,0,1,45.53609678698929
193416,23818,284763,1,1,1358,1492239,0,444696,1,72,514,20,2,38,1,0,0,1,0,0,1,0.053560064493351656
121753,56609,427786,3,1,1255,8879367,0,395012,1,56,806,456,2,27,0,1,0,0,1,419776,1,0.14330920754506812
198935,129284,56318,4,1,284,6785102,1,394092,1,63,634,228,1,41,1,1,1,1,1,441892,0,0.3280545455006813
174037,326970,226339,4,1,3685,478168,1,129483,1,65,546,237,2,36,1,0,1,0,0,0,0,2.525176855827747
197404,125963,301115,0,1,452,3957929,0,121159,1,58,323,31,2,21,0,1,1,0,1,289525,1,1.0396417959722681
149547,178712,376806,4,1,2665,7548814,1,358110,1,60,121,359,0,32,0,2,1,0,1,24605,1,0.499040800198821
116044,265811,419251,0,1,1947,5310237,1,82284,0,77,137,30,2,42,1,1,0,1,0,0,1,3.230370055295619
46797,326633,226164,0,1,400,5007487,1,202650,0,96,83,33,1,24,1,0,0,1,1,394083,0,1.6118005832687725
6570,152564,61083,2,1,1371,6934410,1,40125,0,80,284,93,0,39,1,1,0,1,0,0,0,3.802123311568559
184164,217193,199027,4,0,541,380582,1,134053,0,81,902,428,2,23,1,1,1,0,1,403721,0,1.6201903710445045
133176,485448,71006,4,1,4496,2303144,0,387454,1,95,105,343,1,47,0,1,0,0,0,0,0,1.252914532010169
101692,477117,473715,2,1,1348,5884869,1,451532,0,75,965,342,0,25,1,2,0,1,0,0,0,1.0566603105420866
47139,470924,25431,2,1,1585,7843327,1,202289,1,82,907,333,2,29,0,0,0,0,1,254196,0,2.327964803005586
105471,33136,242963,1,0,573,7248468,1,441632,0,92,135,360,0,62,0,1,1,0,1,380956,1,0.07503062497594157
11021,482256,171626,0,1,4672,8068280,1,137820,1,99,779,241,0,59,0,2,0,1,1,328772,0,3.4991474448741484
80112,215503,234186,4,1,3389,7661352,1,352792,0,84,871,272,2,31,1,1,0,0,0,0,1,0.610848287806164
92559,330077,197353,2,0,1976,7504718,1,177333,0,97,428,270,0,54,0,2,0,1,0,0,0,1.8613294686862079
175070,301210,307005,3,0,1125,1269687,1,461926,1,59,748,258,0,48,1,1,0,0,1,120499,1,0.6520727301067052
83088,139233,420388,0,1,2459,8826854,1,120236,1,51,247,406,1,57,1,1,0,0,1,275426,1,1.1579879737518401
53497,281894,407064,4,1,1984,9742783,1,298303,0,72,575,478,2,56,1,2,0,0,0,0,1,0.944989004505471
62202,111942,387667,4,1,2185,3970949,0,398494,1,92,162,154,1,61,1,2,1,1,0,0,1,0.2809119311409177
130970,261481,180876,2,0,448,1376011,1,377989,0,91,275,17,0,49,0,1,0,0,1,459883,0,0.69176697796238
20526,130569,464780,4,1,1310,9477468,1,163958,1,78,86,134,1,31,0,2,0,0,0,0,1,0.7963515269061168
72903,360014,96340,1,1,3,4085077,1,384775,0,78,646,75,0,39,1,0,0,0,1,397129,0,0.9356456743663846
180959,279752,64911,1,1,3729,8035484,0,493940,1,54,84,122,2,55,0,0,1,1,0,0,0,0.5663672381924157
59770,444818,308800,2,1,3137,2298670,0,184261,1,90,243,309,1,53,0,2,0,0,1,335371,0,2.414051730687825
76766,133803,136610,4,1,3244,4307262,1,476299,0,93,263,316,0,51,0,2,1,1,1,415773,1,0.2809216880117573
181212,403051,251514,4,0,532,5099799,0,300918,0,85,609,380,1,51,0,2,0,0,1,126956,0,1.3394003037362214
117315,436548,360779,2,1,144,1130817,1,370250,1,68,91,360,1,37,1,1,0,0,1,206942,0,1.179059610912597
154907,12542,419528,1,1,2722,5201743,1,285738,1,65,316,339,0,29,1,2,0,0,0,0,1,0.04389320323791992
46124,56464,301826,1,0,1425,8524288,0,427503,1,68,118,129,2,49,0,1,0,0,0,0,1,0.13207829634342602
194253,483733,67382,2,0,3471,9659941,0,345850,0,82,610,301,1,28,0,1,0,0,0,0,0,1.398674573732619
31406,80838,199515,2,0,2155,2606967,1,369521,1,63,283,172,0,45,0,2,0,0,0,0,1,0.21876370013152127
86671,308113,379924,2,1,4402,4568692,1,295116,1,52,55,303,1,63,1,2,1,0,1,484984,1,1.0440367718565857
165265,243056,374309,1,1,440,4764925,1,468468,0,53,30,465,0,54,1,2,0,0,1,363083,1,0.518830488250023
24464,223024,182587,3,0,3191,4527314,0,480244,1,62,59,86,1,41,0,2,1,0,1,171266,0,0.4643962977230372
31299,189230,491423,4,1,2558,1198571,1,162326,1,97,96,360,2,34,0,2,1,1,0,0,1,1.1657333653674373
80666,110438,441777,2,1,952,5412667,0,87543,1,68,289,255,0,61,0,0,0,1,0,0,1,1.2615142099972585
116833,465508,303147,0,1,3288,478759,1,305902,1,99,574,81,0,46,0,2,0,0,1,421501,0,1.5217503587738597
33292,183593,330378,0,0,353,955027,1,347293,0,87,615,349,0,60,1,0,0,0,0,0,1,0.5286385598369105
44366,200014,342944,2,0,3544,3058500,1,236714,0,94,279,238,1,53,0,2,0,1,0,0,1,0.8449570158207127
116871,421305,292107,1,0,3016,6396474,0,250859,0,71,780,13,2,26,0,2,1,0,1,445285,0,1.6794427170533366
147266,335854,426995,2,0,1775,6009713,0,355185,1,96,204,405,2,35,0,2,0,0,0,0,1,0.945572179083635
172252,260688,314334,2,0,3559,2782966,1,466578,1,88,100,280,2,51,0,2,0,1,0,0,1,0.5587221027950251
197929,410097,395003,4,1,3843,4945796,1,181247,0,98,538,238,1,40,0,1,0,1,1,346591,0,2.2626291048728815
126621,118840,116847,4,1,4875,269690,1,34758,0,74,67,324,1,22,1,2,1,1,0,0,0,3.4189706263126096
129636,265318,63583,0,1,4903,3999742,1,155274,0,56,854,272,2,48,0,1,0,0,0,0,0,1.7086974722266945
17014,21250,299157,1,0,510,9153915,1,429471,0,87,558,35,0,30,0,2,0,1,1,230292,1,0.04947936070337531
15570,28372,346261,2,0,4608,5540205,0,214553,0,55,3,31,2,53,0,0,0,1,0,0,1,0.1322371058101923
129004,401587,101755,1,1,3395,9805283,1,427456,0,56,25,456,0,28,0,0,0,0,0,0,0,0.939479292653998
70649,416302,389692,4,0,4809,1760118,0,254893,0,90,10,19,0,30,1,2,0,0,0,0,0,1.6332357764404026
58971,312152,340399,2,1,3756,5946704,0,89072,1,89,869,69,0,49,1,2,0,0,1,413073,1,3.504451405027337
86257,118696,466697,1,1,4311,4655506,1,242481,0,70,34,274,0,47,1,1,0,0,1,324017,1,0.48950437558251747
104630,261625,350031,1,1,2181,7739860,1,143503,1,80,762,298,1,23,1,1,0,0,1,26959,1,1.823119913033783
112798,207583,392924,0,0,1704,6270133,0,363598,1,72,866,173,0,57,0,2,0,1,1,482528,1,0.5709119111988756
80403,148677,419811,4,0,31,9989793,1,475589,0,96,504,394,0,34,1,1,0,0,0,0,1,0.3126159086608213
160114,361454,36476,1,1,3811,947885,1,28160,1,88,530,264,0,56,1,0,0,1,0,0,0,12.835268633926352
111173,15918,384226,1,1,479,1647672,0,189470,0,89,592,276,1,26,0,1,0,0,0,0,1,0.08401285684880536
12043,98971,167040,3,1,2716,4085116,1,200255,1,67,453,488,0,51,0,2,0,0,1,148455,1,0.4942223953339725
134249,144244,499391,3,0,3259,2069942,1,47252,0,55,231,488,0,47,1,1,0,1,1,71109,1,3.0525892535923647
194352,249414,281994,0,1,1770,1627248,1,289366,0,69,921,76,1,26,1,2,1,0,0,0,1,0.8619296602584261
134477,138085,109789,4,1,2447,7075486,1,269400,0,50,712,404,1,40,2,2,0,0,1,180091,0,0.5125630565588101
172528,191479,126346,1,1,3360,4453836,0,322118,0,89,794,288,1,43,1,1,1,0,1,308299,0,0.5944355967825555
43708,390712,136476,4,1,3648,8703006,1,463590,1,92,951,138,2,41,0,0,0,1,1,223851,0,0.8427946185322839
43115,133390,262790,0,1,4244,5004844,0,332826,1,63,272,325,1,47,0,1,0,0,0,0,1,0.40077878297133346
81168,228435,462175,0,1,317,5144753,1,479513,1,79,472,293,1,60,0,1,0,1,0,0,1,0.476388593450869
56750,113837,419166,0,1,2033,1533540,0,161687,1,68,887,100,0,27,0,1,0,1,0,0,1,0.704053485725595
52176,212306,397275,0,1,2983,4368554,1,349306,1,96,44,77,1,41,1,1,1,1,0,0,1,0.6077919995877552
9419,471468,235968,2,0,3705,9785768,1,297321,1,98,883,279,0,23,1,2,1,0,1,209238,0,1.5857151505774885
124995,336488,434235,1,1,2649,9472009,0,4708,1,89,157,259,1,37,1,2,0,1,1,268761,1,71.45636016139308
22959,227765,119436,3,1,109,1364863,1,313749,1,63,135,120,1,51,0,0,1,1,0,0,0,0.7259442231075697
146282,340935,415386,0,1,3896,1673161,1,348975,1,70,660,35,2,24,0,1,0,1,0,0,1,0.9769583008573656
113601,473931,140183,3,1,1642,9946126,0,227584,1,88,484,172,0,57,0,0,0,0,1,334905,0,2.0824351341257112
144845,170029,289917,1,1,2243,6117887,1,245920,1,86,556,250,1,47,1,1,1,0,0,0,1,0.6913968306895304
123251,317239,274913,3,0,3371,7980642,1,83317,1,50,609,377,1,21,0,0,1,0,1,414325,0,3.8075685926210423
47090,144807,25463,0,1,4836,7310470,1,147685,0,97,274,151,2,21,1,1,0,1,0,0,0,0.9805059382744471
127305,221626,20163,4,1,1562,7257378,1,98975,0,80,432,57,0,56,0,1,0,1,1,444315,0,2.2391892984157775
88810,291696,464365,4,1,3525,59609,1,117327,1,65,361,285,0,63,1,1,1,1,0,0,1,2.4861584617482615
67343,386749,288916,3,1,1010,4837706,0,428271,0,80,497,338,0,48,0,1,1,0,0,0,0,0.9030452609556544
91839,495208,184885,0,1,2037,1895822,1,218325,0,79,577,37,0,27,0,1,0,0,1,117631,0,2.2682044282403377
184372,133379,217340,2,0,3232,9712102,1,382188,1,93,210,286,1,37,2,2,1,1,0,0,1,0.3489870195112889
73884,194694,404021,0,1,4789,3937987,1,140076,1,62,84,82,2,60,2,0,1,1,0,0,1,1.3899069797325756
85493,398891,376218,0,1,1886,8908669,0,2823,1,86,591,484,2,50,1,0,0,1,0,0,0,141.25035410764872
138090,355755,201376,4,1,4095,742678,0,138149,0,98,338,16,2,25,0,1,1,1,0,0,0,2.5751357220412596
141641,38117,447332,4,0,493,3670618,0,263434,1,93,338,389,0,32,1,0,0,1,0,0,1,0.14469223907225692
19474,390367,395670,2,1,4392,225503,0,98806,0,53,837,30,0,40,0,2,1,0,0,0,1,3.950803080753388
149177,54722,356344,3,1,3556,4160695,0,105503,1,81,879,272,0,61,0,0,1,0,1,471716,1,0.5186722778283288
165717,221638,209952,2,1,4563,8774886,0,64929,0,65,703,78,0,64,0,1,1,1,1,426582,0,3.413491452333282
5466,112938,223054,3,1,4216,686029,1,343408,1,83,831,68,0,38,1,0,1,0,1,100794,1,0.328873151256956
26383,181271,243688,3,1,4071,8132993,1,42433,0,52,67,102,2,60,0,2,0,1,1,434925,1,4.271833906772871
184825,301833,496155,3,1,2367,1833610,0,295185,1,73,373,320,0,26,0,1,1,0,0,0,1,1.0225180055964713
47781,392535,232870,1,1,2907,7242251,1,426388,0,91,411,220,2,23,1,1,0,0,0,0,0,0.9206030174324384
193580,481179,252718,1,1,191,3948289,1,392849,1,70,927,108,2,49,1,2,0,0,1,292782,0,1.2248415425735013
116300,101295,124542,1,1,1580,8231856,1,452024,0,82,474,126,2,21,0,1,0,0,0,0,1,0.22409158785465405
148100,300689,307854,2,1,1156,6887686,0,495889,0,55,769,423,0,47,1,2,1,0,0,0,1,0.6063622980903023
147803,496722,214171,3,0,3136,7485725,0,83446,1,84,547,249,2,37,1,2,1,0,1,135479,0,5.9525447289896585
51315,480224,232482,1,1,4256,389322,1,37338,0,80,543,430,0,44,0,2,0,1,0,0,0,12.861190712124053
30114,39787,416461,3,1,764,307202,0,296993,1,72,338,235,1,30,0,1,1,0,0,0,1,0.13396566934012136
15128,370987,332689,3,1,2488,7916138,0,394146,0,83,769,123,0,28,2,2,0,1,1,483135,0,0.9412401971853142
102335,498449,308628,2,1,645,7018567,1,144009,1,62,867,190,2,55,0,2,0,1,0,0,0,3.461211027012013
26319,158446,186018,0,1,2754,3224306,0,455072,1,75,818,286,2,59,1,1,1,0,1,206083,1,0.34817710565118126
9926,193014,162781,3,1,649,8257447,0,161586,0,86,62,214,2,45,0,1,1,0,1,146654,0,1.1944896557272553
152949,167716,192044,0,0,2214,3117698,1,485682,1,55,50,273,0,50,0,2,0,1,0,0,1,0.3453198897223086
6726,257049,155614,3,1,2342,3652977,0,438075,1,82,612,12,0,45,1,1,0,0,1,266527,0,0.5867680493795597
44601,76117,118284,0,1,928,9701312,0,418933,0,91,835,171,2,45,1,2,1,0,1,278149,1,0.18169210424553747
76269,286624,140898,2,0,4055,1622540,1,442338,1,53,944,245,0,28,0,2,0,1,1,122518,0,0.6479736129981756
14479,91396,50297,1,1,3140,9802338,0,116026,1,50,615,86,1,35,2,1,0,0,1,203137,0,0.7877132046851164
49883,457716,117171,1,1,2684,1526586,0,259399,0,99,91,15,0,25,1,2,0,1,0,0,0,1.7645181187355437
61415,378744,369566,3,1,3439,330719,0,481204,0,88,994,488,0,39,2,1,0,1,1,170392,0,0.7870741160212383
5813,68968,288447,4,1,2296,4185615,1,444953,1,50,769,353,2,26,0,1,1,0,0,0,1,0.15500029216503278
186558,177039,366495,4,0,4186,3175189,1,101371,0,50,705,224,1,22,1,1,1,1,1,219022,1,1.7464289941995816
188215,283339,448878,3,1,2261,5982558,1,288272,0,53,848,244,0,58,0,2,1,0,0,0,1,0.9828842798319648
34316,116074,76869,0,0,4461,6128167,1,408560,0,85,571,189,1,32,0,1,0,1,1,10050,0,0.2841044544143959
78314,489462,85360,1,0,596,296536,1,272740,0,68,458,207,0,61,0,1,1,0,1,499596,0,1.7946036716151954
172465,79447,366451,1,0,2728,1179388,0,355704,0,83,670,41,0,51,1,1,1,0,0,0,1,0.2233508103625195
156509,430473,424560,4,0,3570,2918387,1,357924,0,93,747,486,0,32,0,1,1,0,0,0,0,1.2026905077879444
68089,306578,342517,4,1,1409,1749901,1,303605,1,71,854,296,0,34,0,2,0,0,1,91272,1,1.009789002852381
192907,320776,420122,0,1,3806,2187108,1,392267,0,86,458,484,1,25,1,2,0,0,0,0,1,0.8177470504858922
88910,434655,250362,3,1,4330,6026349,0,278897,1,53,858,13,0,54,1,1,0,0,0,0,0,1.5584729901254222
189095,432608,200398,4,0,42,9613679,0,263763,1,99,115,67,1,21,0,2,0,1,0,0,0,1.6401328460290259
27135,280888,221544,2,0,3369,8165603,1,243590,1,90,993,398,2,53,0,1,1,0,0,0,0,1.1531132102581787
74085,42463,55237,1,0,3828,3848419,1,425596,0,68,310,270,2,24,1,1,1,1,0,0,1,0.09977278975180746
115533,138783,325816,3,0,4797,1910337,0,98779,1,50,395,472,0,36,0,0,0,1,1,366304,1,1.40497064183033
132688,480073,244510,4,0,4012,1536156,0,126880,1,55,158,296,0,36,2,2,0,0,1,315680,0,3.783647669863888
122152,42279,155756,3,1,3458,6585941,0,42649,0,76,112,339,2,53,0,2,1,1,1,465014,1,0.9913012895662369
116330,430613,78241,3,1,3858,4776567,0,55393,0,60,826,72,0,32,0,2,1,0,0,0,0,7.773639744376648
55648,491773,355641,2,1,720,5436391,1,418844,1,94,847,473,1,41,0,2,0,0,1,107726,0,1.174116916759183
52378,490346,303431,1,1,2529,5148586,1,110266,1,74,620,5,1,56,0,0,1,0,1,73139,0,4.446897077094689
52671,182455,224513,2,1,4178,384265,1,19177,0,55,864,297,0,57,0,1,0,0,0,0,1,9.513765773281886
197857,112386,491478,0,1,2135,3354955,0,77061,0,84,747,452,2,50,0,2,0,0,1,205518,1,1.4583841582102723
180277,77811,486931,1,1,3716,8420136,1,197059,0,59,983,454,1,41,0,0,1,0,0,0,1,0.39485943367502285
87852,341010,162684,2,1,4835,9214855,0,247641,0,81,136,259,2,35,1,2,1,0,1,480910,0,1.3770281293157058
147131,98966,273695,2,1,4464,7532839,1,372752,0,56,681,237,0,43,1,1,0,1,1,53167,1,0.2655002105952199
93585,190580,58864,4,1,228,2737531,1,218670,0,55,114,279,0,31,1,1,1,0,0,0,0,0.871537606724257
52051,310662,173234,0,1,499,9893046,0,396076,1,87,878,52,1,35,0,1,0,0,1,313066,0,0.7843474879884467
168552,269502,234669,1,1,962,1732135,1,428046,1,77,938,358,1,45,1,1,1,0,1,391734,0,0.6296084308498833
81607,25046,98696,0,0,4756,7131281,0,239057,1,52,886,202,0,33,1,0,0,0,0,0,1,0.10476955383212443
95388,412606,213395,0,1,4350,5817663,1,192265,1,81,21,24,0,57,0,2,1,0,0,0,0,2.1460164563677404
29128,264825,19793,4,1,1707,8147253,1,325158,0,58,760,212,0,53,1,2,0,1,0,0,0,0.8144477009709096
160219,45390,278776,1,0,3673,6839310,1,356066,0,63,180,364,0,34,2,2,0,1,0,0,1,0.12747600872869433
107995,305976,64965,4,0,3143,6171349,0,489905,0,89,966,454,0,32,0,1,1,1,1,148671,0,0.6245606299984079
29643,438377,42148,2,1,2430,9902774,0,388489,0,76,211,83,2,42,1,0,0,0,0,0,0,1.1284125717521687
93368,374862,193785,2,1,4198,1778720,0,88590,1,69,867,262,2,22,0,1,1,0,1,129620,0,4.231377905204818
189571,473255,11562,1,1,3412,7733948,1,102338,0,62,725,284,2,37,0,1,0,1,0,0,0,4.624385620340242
178569,408333,499967,2,0,4600,1489807,0,252853,1,76,112,346,1,45,0,1,0,0,1,165328,1,1.6148963433443806
143972,15939,236469,3,1,3400,9442321,1,165720,1,65,291,467,0,29,1,0,0,0,1,348646,1,0.0961797237525721
30481,262407,204665,4,1,2429,4887722,1,475990,0,67,650,325,0,46,1,1,1,0,1,391145,0,0.5512856335518949
44851,433670,351594,0,0,346,812674,1,327754,1,62,948,189,0,63,1,2,0,1,0,0,0,1.3231529648670501
49234,186977,147998,4,1,3104,8714340,1,229376,0,55,405,376,1,52,1,1,0,1,0,0,0,0.8151514755184696
47413,12759,11964,4,1,4131,3258237,0,102157,1,53,799,49,0,47,1,2,0,1,1,110350,0,0.12489477084516142
112365,459247,27772,2,1,775,1794222,1,259560,0,61,652,416,0,46,0,2,0,1,1,124406,0,1.7693220476111589
138001,52205,451177,0,1,4589,7046936,1,389395,1,57,880,105,2,28,0,2,1,0,1,56322,1,0.13406660571757287
